/・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEJ・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEE^,行動パターン,敵の種類,x軸,y軸,速さ,時間,弾幕の種類,弾の色,体力,弾の種類,待機時間,落とすアイテム,2,3,4,5,6
/cnt,pattern,knd,x,y,sp,bltime,bullet,col,hp,bulletshot,wait,item_n,,,,,
400100,8,0,20,20,0,15,0,2,600,3,80,0,,,,,
400170,8,0,20,20,0,15,0,2,600,3,80,0,,,,,
400240,8,0,20,20,0,15,0,2,600,3,80,0,,,,,
400310,8,0,20,20,0,15,0,2,600,3,80,0,,,,,
400380,8,0,20,20,0,15,0,2,600,3,80,0,,,,,
400450,8,0,20,20,0,15,0,2,600,3,80,0,,,,,
400100,9,0,20,520,0,15,0,2,600,3,80,0,,,,,
400170,9,0,20,520,0,15,0,2,600,3,80,0,,,,,
400240,9,0,20,520,0,15,0,2,600,3,80,0,,,,,
400310,9,0,20,520,0,15,0,2,600,3,80,0,,,,,
400380,9,0,20,520,0,15,0,2,600,3,80,0,,,,,
400450,9,0,20,520,0,15,0,2,600,3,80,0,,,,,
,,,,,,,,,,,,,,,,,
401450,10,0,20,720,2,15,1,8,2500,1,80,0,,,,,
401560,10,0,20,720,2,15,1,8,2500,1,80,0,,,,,
401670,10,0,20,720,2,15,1,8,2500,1,80,0,,,,,
401780,10,0,20,720,2,15,1,8,2500,1,80,0,,,,,
401890,10,0,20,720,2,15,1,8,2500,1,80,0,,,,,
402000,10,0,20,720,2,15,1,8,2500,1,80,0,,,,,
401450,11,0,20,320,2,15,1,8,4200,1,80,0,,,,,
401560,11,0,20,320,2,15,1,8,4200,1,80,0,,,,,
401670,11,0,20,320,2,15,1,8,4200,1,80,0,,,,,
401780,11,0,20,320,2,15,1,8,4200,1,80,0,,,,,
401890,11,0,20,320,2,15,1,8,4200,1,80,0,,,,,
402000,11,0,20,320,2,15,1,8,4200,1,80,0,,,,,
,,,,,,,,,,,,,,,,,
402850,2,2,500,-20,0,20,2,2,3050,5,500,0,,,,,
402850,2,2,700,-20,0,20,2,2,3050,5,500,0,,,,,
,,,,,,,,,,,,,,,,,
403580,2,2,400,-20,0,20,3,4,4050,5,250,0,,,,,
403900,2,2,800,-20,0,20,3,4,4050,5,250,0,,,,,
,,,,,,,,,,,,,,,,,
404280,2,2,600,-20,0,20,4,5,8550,5,600,0,,,,,
,,,,,,,,,,,,,,,,,
405200,11,0,20,820,2,15,1,8,2500,1,80,0,,,,,
405300,11,0,20,820,2,15,1,8,2500,1,80,0,,,,,
405400,11,0,20,820,2,15,1,8,2500,1,80,0,,,,,
405500,11,0,20,820,2,15,1,8,2500,1,80,0,,,,,
405600,11,0,20,820,2,15,1,8,2500,1,80,0,,,,,
405700,11,0,20,820,2,15,1,8,2500,1,80,0,,,,,
405200,10,0,20,220,2,15,1,8,4200,1,80,0,,,,,
405300,10,0,20,220,2,15,1,8,4200,1,80,0,,,,,
405400,10,0,20,220,2,15,1,8,4200,1,80,0,,,,,
405500,10,0,20,220,2,15,1,8,4200,1,80,0,,,,,
405600,10,0,20,220,2,15,1,8,4200,1,80,0,,,,,
405700,10,0,20,220,2,15,1,8,4200,1,80,0,,,,,
