/・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEJ・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEE^,行動パターン,敵の種類,x軸,y軸,速さ,時間,弾幕の種類,弾の色,体力,弾の種類,待機時間,落とすアイテム,2,3,4,5,6
/cnt,pattern,knd,x,y,sp,bltime,bullet,col,hp,bulletshot,wait,item_n,,,,,
500800,12,0,1100,600,4,15,0,2,300,3,90,0,,,,,
500870,12,0,1100,500,4,15,0,2,300,3,90,0,,,,,
500940,12,0,1100,400,4,15,0,2,300,3,90,0,,,,,
501010,12,0,1100,300,4,15,0,2,300,3,90,0,,,,,
501080,12,0,1100,200,4,15,0,2,300,3,90,0,,,,,
501150,12,0,1100,100,4,15,0,2,300,3,90,0,,,,,
501220,12,0,100,600,4,15,0,2,300,3,90,0,,,,,
501290,12,0,100,500,4,15,0,2,300,3,90,0,,,,,
501360,12,0,100,400,4,15,0,2,300,3,90,0,,,,,
501430,12,0,100,300,4,15,0,2,300,3,90,0,,,,,
501500,12,0,100,200,4,15,0,2,300,3,90,0,,,,,
501570,12,0,100,100,4,15,0,2,300,3,90,0,,,,,
,,,,,,,,,,,,,,,,,
501700,9,0,1100,600,4,15,1,0,2000,0,90,0,,,,,
501770,9,0,1100,500,4,15,1,0,2000,0,90,0,,,,,
501840,9,0,1100,400,4,15,1,0,2000,0,90,0,,,,,
501910,9,0,1100,300,4,15,1,0,2000,0,90,0,,,,,
501980,9,0,1100,200,4,15,1,0,2000,0,90,0,,,,,
502050,9,0,1100,100,4,15,1,0,2000,0,90,0,,,,,
502120,8,0,100,600,4,15,1,0,2000,0,90,0,,,,,
502190,8,0,100,500,4,15,1,0,2000,0,90,0,,,,,
502260,8,0,100,400,4,15,1,0,2000,0,90,0,,,,,
502330,8,0,100,300,4,15,1,0,2000,0,90,0,,,,,
502400,8,0,100,200,4,15,1,0,2000,0,90,0,,,,,
502470,8,0,100,100,4,15,1,0,2000,0,90,0,,,,,
,,,,,,,,,,,,,,,,,
503000,2,2,600,0,0,15,2,4,12550,3,900,0,,,,,
