/・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEJ・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEE^,行動パターン,敵の種類,x軸,y軸,速さ,時間,弾幕の種類,弾の色,体力,弾の種類,待機時間,落とすアイテム,2,3,4,5,6
/cnt,pattern,knd,x,y,sp,bltime,bullet,col,hp,shotbull,wait,item_n,,,,,
200100,5,0,100,0,0,20,0,3,260,3,40,0,,,,,
200150,5,0,100,0,0,20,0,3,260,3,40,0,,,,,
200180,5,0,100,0,0,20,0,3,260,3,40,0,,,,,
200220,5,0,100,0,0,20,0,3,260,3,40,0,,,,,
200260,5,0,100,0,0,20,0,3,260,3,40,0,,,,,
200300,5,0,100,0,0,20,0,3,260,3,40,0,,,,,
200200,6,0,1000,0,0,20,0,3,260,3,40,0,,,,,
200240,6,0,1000,0,0,20,0,3,260,3,40,0,,,,,
200280,6,0,1000,0,0,20,0,3,260,3,40,0,,,,,
200320,6,0,1000,0,0,20,0,3,260,3,40,0,,,,,
200360,6,0,1000,0,0,20,0,3,260,3,40,0,,,,,
200400,6,0,1000,0,0,20,0,3,260,3,40,0,,,,,
,,,,,,,,,,,,,,,,,
201200,7,0,100,0,2,20,1,1,180,0,40,0,,,,,
201230,7,0,600,0,2,20,1,1,180,0,40,0,,,,,
201260,7,0,900,0,2,20,1,1,180,0,40,0,,,,,
201290,7,0,400,0,2,20,1,4,180,0,40,0,,,,,
201320,7,0,210,0,2,20,1,4,180,0,40,0,,,,,
201350,7,0,720,0,2,20,1,4,180,0,40,0,,,,,
201380,7,0,1000,0,2,20,1,4,180,0,40,0,,,,,
201410,7,0,850,0,2,20,1,6,180,0,40,0,,,,,
201440,7,0,300,0,2,20,1,6,180,0,40,0,,,,,
201470,7,0,500,0,2,20,1,6,180,0,40,0,,,,,
201500,7,0,150,0,2,20,1,6,180,0,40,0,,,,,
201530,7,0,100,0,2,20,1,1,180,0,40,0,,,,,
201560,7,0,600,0,2,20,1,1,180,0,40,0,,,,,
201590,7,0,800,0,2,20,1,1,180,0,40,0,,,,,
201620,7,0,210,0,2,20,1,4,180,0,40,0,,,,,
,,,,,,,,,,,,,,,,,
201660,7,0,1000,0,2,20,1,4,180,0,40,0,,,,,
201800,2,2,300,0,0,20,2,0,2400,2,1500,0,,,,,
201800,2,2,800,0,0,20,2,0,2400,2,1500,0,,,,,
,,,,,,,,,,,,,,,,,
201850,7,0,100,0,2,20,1,1,100,0,40,0,,,,,
